code,description,category
CR,Creazione animale,automatic
EX,Uscita,automatic
NE,Nuovo ingresso,automatic
EC,Completamento ingresso,automatic
DU,Aggiornamento dati,automatic
CA,Assegnazione chip,automatic
AC,Adozione creata,automatic
AD,Adozione completata,automatic
AR,Rientro da adozione,automatic
DU_DOC,Documento caricato,automatic
MS,Spostamento in rifugio,automatic
CS,Castrazione-Sterilizzazione,manual
C,Calore,manual
MD,Morsicatura data,manual
MS,Morsicatura subita,manual
CC,Certificazione,manual
